数据年份,企业名称,营业总收入,资产总额,负债总额,纳税总额,主营业务收入,所有者权益,利润总额,净利润,平均净资产,平均资产总额,社保人数
2019,西安市临潼区美高美装饰工程有限公司,29,4,6,0,29,-1,1,1,--,--,--
2018,西安市临潼区美高美装饰工程有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,西安市临潼区美高美装饰工程有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,中纺院（天津）科技发展有限公司,5700,22100,14000,100,5700,8000,-900,-900,8500,23700,--
2018,中纺院（天津）科技发展有限公司,7200,25400,16300,0,7200,9100,-1200,-1200,9700,24900,100
2017,中纺院（天津）科技发展有限公司,3900,24400,14100,0,3900,10300,-1900,-1900,11200,23400,19
2019,内蒙古久泰新材料销售有限公司,353400,160100,140100,400,353400,19900,0,0,10400,133200,25
2018,内蒙古久泰新材料销售有限公司,133400,106400,105400,200,133400,900,-1,-5,900,53700,25
2017,内蒙古久泰新材料销售有限公司,0,1000,0,0,0,1000,0,0,--,--,--
2019,曲靖市商业银行股份有限公司,233900,5495900,4674000,16500,163400,821800,24000,21800,809800,4581100,400
2018,曲靖市商业银行股份有限公司,141700,3666400,2868600,23500,114000,797800,4800,1900,495000,3220400,300
2017,曲靖市商业银行股份有限公司,138700,2774400,2582100,17400,111900,192300,15900,9700,198700,2898300,300
2019,广州农村商业银行股份有限公司,1999000,79027800,72395700,425100,1995100,6632100,822700,662700,5903300,74907700,--
2018,广州农村商业银行股份有限公司,1810300,70787600,65613100,295100,1804000,5174400,786800,621100,5011100,72179500,--
2017,广州农村商业银行股份有限公司,1352700,73571400,68723600,324000,1348600,4847700,752600,589000,4198900,67697200,7000
2019,天津农村商业银行股份有限公司,1503900,30896700,28017800,150100,1484100,2878900,317000,241900,2663700,31304700,--
2018,天津农村商业银行股份有限公司,1452300,31712800,29264300,121100,1452100,2448400,314700,240400,2339300,30811700,--
2017,天津农村商业银行股份有限公司,1332100,29910600,27680400,134200,1331800,2230200,306000,235200,2171800,30143300,5800
2019,宜家家具配件（上海）有限公司,113500,37100,18600,2600,103700,18400,5400,3900,16500,35900,--
